JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,LT,RG,RR
2460312.583333333,A.D. 2024-Jan-03 02:00:00.0000,-30164952.39659302,143974553.3940527,-7971.163804389536,-29.64035899959736,-6.209596118211469,0.001498846082182315,490.6748979081574,147100633.7227855,
2460312.625,A.D. 2024-Jan-03 03:00:00.0000,-30271649.72389269,143952159.950279,-7965.759881600738,-29.6359312813781,-6.231205573369371,0.001503320457128865,490.6749064475083,147100636.2828186,
2460312.666666667,A.D. 2024-Jan-03 04:00:00.0000,-30378331.08264068,143929688.7168469,-7960.339989364147,-29.63148758127005,-6.25281259314835,0.001507717950026244,490.6749196228012,147100640.232672,
2460312.708333333,A.D. 2024-Jan-03 05:00:00.0000,-30484996.41529435,143907139.7025444,-7954.904404990375,-29.62702789492142,-6.274417166191903,0.001512038264563476,490.6749374259603,147100645.5699248,
2460312.75,A.D. 2024-Jan-03 06:00:00.0000,-30591645.66429539,143884512.9162001,-7949.453406833112,-29.62255221797393,-6.296019281119626,0.001516281106275663,490.674959848887,147100652.2921491,
2460312.791666667,A.D. 2024-Jan-03 07:00:00.0000,-30698278.7720698,143861808.3666838,-7943.987274341285,-29.61806054606238,-6.317618926527068,0.0015204461825431,490.6749868834596,147100660.3969101,
2460312.833333333,A.D. 2024-Jan-03 08:00:00.0000,-30804895.68102783,143839026.0629062,-7938.506287977099,-29.61355287481419,-6.339216090985561,0.001524533202590383,490.6750185215334,147100669.881766,
2460312.875,A.D. 2024-Jan-03 09:00:00.0000,-30911496.333564,143816166.0138195,-7933.010729290545,-29.60902919984888,-6.360810763042033,0.001528541877494405,490.6750547549403,147100680.7442681,
2460312.916666667,A.D. 2024-Jan-03 10:00:00.0000,-31018080.67205702,143793228.228417,-7927.50088082999,-29.60448951677769,-6.382402931218797,0.001532471920177692,490.6750955754894,147100692.9819609,
2460312.958333333,A.D. 2024-Jan-03 11:00:00.0000,-31124648.6388698,143770212.7157332,-7921.977026164532,-29.59993382120302,-6.403992584013343,0.001536323045425725,490.6751409749667,147100706.5923818,
2460313.0,A.D. 2024-Jan-03 12:00:00.0000,-31231200.17634939,143747119.4848444,-7916.439449943602,-29.59536210871801,-6.425579709898095,0.001540094969883388,490.6751909451353,147100721.5730614,
2460313.041666667,A.D. 2024-Jan-03 13:00:00.0000,-31337735.22682698,143723948.5448681,-7910.888437762856,-29.59077437490608,-6.447164297320162,0.001543787412069175,490.6752454777351,147100737.9215236,
2460313.083333333,A.D. 2024-Jan-03 14:00:00.0000,-31444253.73261781,143700699.9049637,-7905.324276290834,-29.58617061534044,-6.468746334701061,0.001547400092380968,490.6753045644832,147100755.635285,
2460313.125,A.D. 2024-Jan-03 15:00:00.0000,-31550755.6360212,143677373.5743322,-7899.747253142297,-29.58155082558357,-6.49032581043644,0.001550932733111576,490.6753681970739,147100774.7118558,
2460313.166666667,A.D. 2024-Jan-03 16:00:00.0000,-31657240.87932045,143653969.5622165,-7894.157656989992,-29.57691500118689,-6.511902712895764,0.001554385058450958,490.6754363671782,147100795.148739,
2460313.208333333,A.D. 2024-Jan-03 17:00:00.0000,-31763709.40478282,143630487.8779013,-7888.555777437985,-29.57226313769016,-6.533477030422004,0.001557756794510645,490.675509066445,147100816.9434308,
2460313.25,A.D. 2024-Jan-03 18:00:00.0000,-31870161.15465953,143606928.5307134,-7882.941905096173,-29.56759523062109,-6.555048751331289,0.001561047669335736,490.6755862864997,147100840.0934209,
2460313.291666667,A.D. 2024-Jan-03 19:00:00.0000,-31976596.07118563,143583291.5300217,-7877.316331580281,-29.56291127549483,-6.576617863912556,0.001564257412913328,490.6756680189451,147100864.5961916,
2460313.333333333,A.D. 2024-Jan-03 20:00:00.0000,-32083014.09658002,143559576.8852373,-7871.679349400103,-29.55821126781355,-6.598184356427176,0.001567385757206718,490.6757542553613,147100890.4492187,
2460313.375,A.D. 2024-Jan-03 21:00:00.0000,-32189415.1730454,143535784.6058136,-7866.031252123415,-29.55349520306599,-6.619748217108556,0.001570432436158065,490.6758449873058,147100917.6499714,
2460313.416666667,A.D. 2024-Jan-03 22:00:00.0000,-32295799.24276819,143511914.7012465,-7860.372334174812,-29.54876307672695,-6.641309434161741,0.001573397185722136,490.6759402063131,147100946.1959116,
2460313.458333333,A.D. 2024-Jan-03 23:00:00.0000,-32402166.24791848,143487967.1810742,-7854.702891014516,-29.54401488425691,-6.662867995762976,0.001576279743884079,490.6760399038953,147100976.0844949,
2460313.5,A.D. 2024-Jan-04 00:00:00.0000,-32508516.13065001,143463942.0548778,-7849.023218974471,-29.53925062110152,-6.684423890059271,0.001579079850680731,490.6761440715421,147101007.3131697,
2460313.541666667,A.D. 2024-Jan-04 01:00:00.0000,-32614848.83310011,143439839.3322808,-7843.333615340292,-29.53447028269121,-6.705977105167929,0.001581797248235706,490.6762527007203,147101039.8793781,
2460313.583333333,A.D. 2024-Jan-04 02:00:00.0000,-32721164.29738959,143415659.0229498,-7837.634378328919,-29.52967386444071,-6.727527629176076,0.001584431680777598,490.6763657828744,147101073.780555,
2460313.625,A.D. 2024-Jan-04 03:00:00.0000,-32827462.46562275,143391401.1365944,-7831.925807103515,-29.52486136174867,-6.749075450140149,0.001586982894675515,490.6764833094267,147101109.014129,
2460313.666666667,A.D. 2024-Jan-04 04:00:00.0000,-32933743.27988731,143367065.6829669,-7826.208201661706,-29.52003276999715,-6.770620556085392,0.001589450638465717,490.6766052717764,147101145.5775216,
2460313.708333333,A.D. 2024-Jan-04 05:00:00.0000,-33040006.6822543,143342652.671863,-7820.481862969697,-29.51518808455133,-6.792162935005308,0.001591834662889813,490.6767316613011,147101183.4681478,
2460313.75,A.D. 2024-Jan-04 06:00:00.0000,-33146252.61477806,143318162.1131217,-7814.747092850506,-29.51032730075891,-6.813702574861114,0.001594134720925844,490.6768624693559,147101222.6834161,
2460313.791666667,A.D. 2024-Jan-04 07:00:00.0000,-33252481.01949614,143293594.0166253,-7809.004194028676,-29.5054504139499,-6.835239463581165,0.001596350567820704,490.6769976872739,147101263.2207281,
2460313.833333333,A.D. 2024-Jan-04 08:00:00.0000,-33358691.83842925,143268948.3922998,-7803.253470100462,-29.50055741943605,-6.856773589060367,0.001598481961137654,490.6771373063658,147101305.0774789,
2460313.875,A.D. 2024-Jan-04 09:00:00.0000,-33464885.01358119,143244225.2501146,-7797.495225533843,-29.49564831251061,-6.878304939159559,0.001600528660786527,490.6772813179205,147101348.2510569,
2460313.916666667,A.D. 2024-Jan-04 10:00:00.0000,-33571060.48693877,143219424.6000829,-7791.729765668511,-29.49072308844779,-6.899833501704895,0.001602490429069459,490.6774297132049,147101392.7388439,
2460313.958333333,A.D. 2024-Jan-04 11:00:00.0000,-33677218.20047175,143194546.452262,-7785.957396648824,-29.4857817425025,-6.921359264487193,0.001604367030725751,490.6775824834637,147101438.5382153,
2460314.0,A.D. 2024-Jan-04 12:00:00.0000,-33783358.09613281,143169590.816753,-7780.178425520658,-29.48082426990992,-6.942882215261275,0.001606158232973609,490.6777396199207,147101485.64654,
2460314.041666667,A.D. 2024-Jan-04 13:00:00.0000,-33889480.11585739,143144557.7037013,-7774.393160127103,-29.47585066588515,-6.964402341745265,0.001607863805558107,490.6779011137771,147101534.0611802,
2460314.083333333,A.D. 2024-Jan-04 14:00:00.0000,-33995584.20156369,143119447.1232964,-7768.601909145713,-29.47086092562288,-6.985919631619921,0.001609483520802257,490.6780669562131,147101583.7794917,
2460314.125,A.D. 2024-Jan-04 15:00:00.0000,-34101670.2951526,143094259.0857724,-7762.804982081056,-29.46585504429704,-7.007434072527877,0.001611017153650529,490.6782371383872,147101634.798824,
2460314.166666667,A.D. 2024-Jan-04 16:00:00.0000,-34207738.33850755,143068993.6014078,-7757.002689212561,-29.46083301706044,-7.028945652072935,0.001612464481732356,490.6784116514367,147101687.1165201,
2460314.208333333,A.D. 2024-Jan-04 17:00:00.0000,-34313788.2734945,143043650.680526,-7751.195341639221,-29.45579483904449,-7.050454357819283,0.001613825285405213,490.6785904864777,147101740.7299166,
2460314.25,A.D. 2024-Jan-04 18:00:00.0000,-34419820.04196186,143018230.3334951,-7745.38325124234,-29.45074050535888,-7.071960177290735,0.001615099347817228,490.6787736346049,147101795.6363438,
2460314.291666667,A.D. 2024-Jan-04 19:00:00.0000,-34525833.58574039,142992732.5707281,-7739.566730670631,-29.44567001109128,-7.093463097969922,0.001616286454964477,490.6789610868922,147101851.8331258,
2460314.333333333,A.D. 2024-Jan-04 20:00:00.0000,-34631828.84664311,142967157.4026833,-7733.74609337002,-29.44058335130706,-7.1149631072975,0.001617386395752707,490.6791528343929,147101909.3175803,
2460314.375,A.D. 2024-Jan-04 21:00:00.0000,-34737805.76646522,142941504.8398643,-7727.921653479338,-29.435480521049,-7.136460192671288,0.001618398962051515,490.6793488681395,147101968.0870191,
2460314.416666667,A.D. 2024-Jan-04 22:00:00.0000,-34843764.28698411,142915774.89282,-7722.093725934625,-29.43036151533707,-7.157954341445445,0.00161932394876585,490.6795491791438,147102028.1387474,
2460314.458333333,A.D. 2024-Jan-04 23:00:00.0000,-34949704.34995911,142889967.572145,-7716.262626387179,-29.42522632916815,-7.179445540929586,0.001620161153901289,490.6797537583973,147102089.4700647,
2460314.5,A.D. 2024-Jan-05 00:00:00.0000,-35055625.89713154,142864082.8884797,-7710.428671196103,-29.42007495751583,-7.200933778387899,0.00162091037862977,490.6799625968715,147102152.0782641,
2460314.541666667,A.D. 2024-Jan-05 01:00:00.0000,-35161528.87022459,142838120.8525104,-7704.592177473009,-29.41490739533018,-7.222419041038236,0.00162157142735575,490.6801756855174,147102215.9606331,
2460314.583333333,A.D. 2024-Jan-05 02:00:00.0000,-35267413.21094319,142812081.4749694,-7698.753462962806,-29.40972363753755,-7.243901316051199,0.001622144107794377,490.6803930152668,147102281.1144529,
2460314.625,A.D. 2024-Jan-05 03:00:00.0000,-35373278.86097401,142785964.7666354,-7692.912846162915,-29.40452367904038,-7.26538059054919,0.001622628231043421,490.6806145770313,147102347.5369988,
2460314.666666667,A.D. 2024-Jan-05 04:00:00.0000,-35479125.76198529,142759770.7383336,-7687.070646204054,-29.39930751471707,-7.286856851605453,0.001623023611655672,490.6808403617035,147102415.2255407,
2460314.708333333,A.D. 2024-Jan-05 05:00:00.0000,-35584953.85562681,142733499.4009356,-7681.227182865143,-29.39407513942178,-7.308330086243098,0.001623330067719753,490.6810703601564,147102484.1773422,
2460314.75,A.D. 2024-Jan-05 06:00:00.0000,-35690763.08352976,142707150.76536,-7675.382776640356,-29.38882654798435,-7.329800281434109,0.001623547420938731,490.6813045632441,147102554.3896616,
